아이디,댓글 내용
  빠니보틀 Pani Bottle,어려운 상황에 도움을 주신 쿠스코 사랑채 식당 사장님께 감사 인사를 드립니다.
  Bum Chul Kim,"가방 도둑 맞으셨다는 라이브 보고, 저라면진짜 멘붕와서 정신 못차렸을것 같은데마음다잡고 다시 일어나신 모습에진심어린 응원의 박수를 보냅니다!남은 기간 몸건강히 여행 마치시고안전하게 귀국하시길 바랍니다~"
  한타스틱 Hantastic,진짜 힘든 상황을 겪으신건데 ㅠㅠ 남은 여정 포기하지 않으시고 계속해서 이어가시는 모습 너무 멋집니다  남은 여행 일정들 잘 진행하실 수 있기를 응원하겠습니다!!!
  ro j,사실 국내에서 지갑 잃어버려도 어떻게 해야하나 막막하고  깝깝한데.. 외국에서 그보다 더한 놑북이 든 가방을 두둑맞았을때 보틀형님의 심정은 상상도 못할거 같아요. .그래도  마음 다잡고 여행에 심기일전하는 모습에 한편으로는 짠하면서도 다른 한편으로는 멋있고 존경스럽다는 생각이 듭니다.위험하지않게 조심히 여행 끝나기를 응원하겠습니다
  리바이,"아는사람 하나 없는 타지에서 고생 많으셨습니다 여행을 그만두시고 귀국하시는게 최선이라고 생각했는데 이상황에서도 ""끝까지 달려보자""는 말씀이 참 인상깊고 멋지네요 얼마남지않은 이번 여행 무사히 마치시길 바랍니다 기다리시는 동안 정주행 한번 더 했네요ㅎㅎ 항상 영상보고 힐링하고 있습니다 감사합니다 새해 복 많이 받으시고 힘내세요!!"
  sohee park,힘드셨을텐데 이렇게 마음 잡으신거 보니 너무 대단해요!! 저도 동유럽에서 지갑 도난 당하고 멘붕 와서 진짜 뭘 구경했는지 기억도 안 나는데 빠니님 정말 대단합니다! 마지막까지 여행 잘 마치시고 무사히 돌아오시길 :)
  HYP Travel,라이브 보고 깜짝놀랐는데 멘탈잡고 다시 달리시려는 모습에 감탄했습니다! 사실 한국으로 돌아올 생각도 있다고 하시는거 보고 살짝 아쉬웠지만 그래도 빠니님이 최우선이니 어쩔 수없다고 생각했는데 이렇게 계속 여행 하시는 모습을 볼 수있어서 넘나 기뻐요!! 항상 응원하고있겠습니다!!
  먹구누나,힘든 상황임에도.. 이렇게 여행을 계속 해주셔서 너무 감사해요  빠니님 영상 하나하나가.. 정말 제가 마치 여행하듯이.. 삶의 행복이에요  이대로 멈추나 했는데 다시 같이 가게되서 너무 기쁩니다. 항상 행복한 일만 있으시길 바래요️
  낭만적이야,진짜 나도 유럽에서 캐리어 통째로 잃어버리고 멘탈 나갔던 기억 난다 ㅋㅋ 빠니형 물론 마음고생은 크게 했지만 이 사건 때문에 어쩌면 환기도 되고 큰 이야깃거리도 생겼고 구독자들과 다같이 으쌰으쌰하게 된거 같아 다시 일어서는 모습 나한테도 정말 큰 힘이 되네 계속 가보자고오♡
  푸른하늘,"사고를 당했음에도 불구하고 마음을 다잡는 모습을 보고 정신력,마음가짐을 배웠습니다. 빠니형 힘내시고 남은 여행 마무리 잘하시길 바라겠습니다."
  진영,엔딩보면서 그냥 뭉클해진다.. 이게 사람 사는거지 하고 느껴지면서도 다잡고 다시 가보자는 빠니보틀도 멋있고.. 볼거리 들을거리 제공해주셔서 항상 감사합니다! 부디 마지막까지 안전하게 여행하세요!
  Hoon luo,형 진심 존경합니다! 뜻하지 않는 부딪침이 있었는데 멘탈잡고 끝까지 나아가는 자세 보면서 도전을 받습니다 마지막까지 여행 잘 마무리하고 멋지게 돌아오길 응원할게요!
  막걸리수액,진짜 힘드셨을텐데 재정비하시는것보고 다시한번 존경스럽습니다 꼭 여행 마무리잘하시고 무사히 한국돌아오셨으면 좋겠습니다. 새해복 많이 받으세요!
  킴,진짜 중요한 물건 잃어버리면 멘탈잡기 힘들실텐데...끝까지 여행 하시는거 보고 정말 대단하다고 생각합니다....항상 응원합니다
  yontube,고생 많으셨습니다. 위기에도 마음 다 잡으시는 모습이 대단하시네요..! 아무쪼록 별탈없이 무사히 여행 마무리 하시길 바라고 응원하겠습니다! 빠니보틀 화이팅!!
  영원히,새 보금자리라는 표현이 진짜 멋있다…. 힘든 상황일텐데 마음 다잡는 것도 너무 멋있고 긍정적인 모습 본받아갑니다 형!!!!!
  Noah _E,빠니님 가방 잃어버리셨다는거 보고 하루종일 일이 손에 잡히지 않더라구요 ㅜㅜ 방구석에서 빠니님 영상으로 매일 힐링받고 그 어떤 예능 영화 드라마보다도 재미있게 보고있어요 앞으로 여행길 안전하고 순탄하게 쭉쭉 나아가시기만을 바랍니다 오늘 마지막 3줄요약은 특히 멋있네요 마인드 배워갑니다 빠니버를 화이팅!
  라다임,빠니형 영상 조용히보고 좋아요만 누르다가 처음 댓글 달아봐요 늘 고독하고 빡센 여행에서 국내에선 오지라퍼들과 현지엔 이런저런 변수들에 어려움도 많으시겠지만 국내 많은 팬들 대신 여행해주고 너무나 값진 영상들을 공유해주는것에 늘 감사합니다 어떤 선택을 하시던 묵묵히 응원하지만 멘탈 잘 추스리시고 여행 잘마무리하시는 결정에 더욱 더 감사하고 멋지다는 생각이 듭니다 아무쪼록 항상 무탈하시고 건강이 우선이므로 여행 마무리까지 화이팅하시고 무사귀환하시길 빌어요!
  lia_dad,빠니형 정주행할때는 몰랐는데 알람 켜놓고 영상 기다리는 입장이 되어보니 가방 도둑맞았을때 얼마나 멘탈이 나가고 심란했을지 감히 상상도 안갔습니다ㅠㅠ.. 힘내시고 여행 잘 마무리 하시길 바라겠습니다!!
  solmi Kim,소식 들었을 때 큰일이다 싶었는데 마음 추스르고 여행을 계속 하신다니 응원합니다! 이번 기회로 더 단단해진 마음으로 여행 조심히 잘 하시길 바라요. 새해 복 많이 받으세요!
